ID_LAT_LON_YEAR_WEEK,emission
ID_-0.510_29.290_2022_00,1.6406727361045113
ID_-0.510_29.290_2022_01,2.9433363929807537
ID_-0.510_29.290_2022_02,3.047119696488292
ID_-0.510_29.290_2022_03,3.220031543469922
ID_-0.510_29.290_2022_04,3.220031543469922
ID_-0.510_29.290_2022_05,3.628131174128247
ID_-0.510_29.290_2022_06,3.4552193271466174
ID_-0.510_29.290_2022_07,3.4552193271466174
ID_-0.510_29.290_2022_08,3.5008147204992315
ID_-0.510_29.290_2022_09,2.9688022220644297
ID_-0.510_29.290_2022_10,4.103611159663463
ID_-0.510_29.290_2022_11,4.022204319965937
ID_-0.510_29.290_2022_12,3.884652569947078
ID_-0.510_29.290_2022_13,3.6696751388876714
ID_-0.510_29.290_2022_14,4.289585060335306
ID_-0.510_29.290_2022_15,4.074382808448534
ID_-0.510_29.290_2022_16,4.074382808448534
ID_-0.510_29.290_2022_17,3.6228045681243466
ID_-0.510_29.290_2022_18,3.8521933543148883
ID_-0.510_29.290_2022_19,3.959344363396581
ID_-0.510_29.290_2022_20,3.9286616259081617
ID_-0.510_29.290_2022_21,3.932287592166448
ID_-0.510_29.290_2022_22,4.184754778473457
ID_-0.510_29.290_2022_23,4.184754778473457
ID_-0.510_29.290_2022_24,4.184754778473457
ID_-0.510_29.290_2022_25,4.14748984405322
ID_-0.510_29.290_2022_26,4.143581142457381
ID_-0.510_29.290_2022_27,3.9258989053575224
ID_-0.510_29.290_2022_28,3.9258989053575224
ID_-0.510_29.290_2022_29,3.9258989053575224
ID_-0.510_29.290_2022_30,3.5649047586358042
ID_-0.510_29.290_2022_31,4.404194515463047
ID_-0.510_29.290_2022_32,4.3819357421390865
ID_-0.510_29.290_2022_33,4.394278999769845
ID_-0.510_29.290_2022_34,4.493882934096383
ID_-0.510_29.290_2022_35,4.58414227064595
ID_-0.510_29.290_2022_36,4.758286961061236
ID_-0.510_29.290_2022_37,4.96584677178949
ID_-0.510_29.290_2022_38,4.758286961061236
ID_-0.510_29.290_2022_39,5.076317279009203
ID_-0.510_29.290_2022_40,4.666386598540812
ID_-0.510_29.290_2022_41,4.703651532961048
ID_-0.510_29.290_2022_42,4.703651532961048
ID_-0.510_29.290_2022_43,4.6821096621297364
ID_-0.510_29.290_2022_44,4.662107573578125
ID_-0.510_29.290_2022_45,4.662107573578125
ID_-0.510_29.290_2022_46,4.662107573578125
ID_-0.510_29.290_2022_47,4.6843663469020855
ID_-0.510_29.290_2022_48,4.6843663469020855
ID_-0.528_29.472_2022_00,1.3854829965884146
ID_-0.528_29.472_2022_01,2.8610585004462874
ID_-0.528_29.472_2022_02,3.2173089902608343
ID_-0.528_29.472_2022_03,3.2173089902608343
